source,target,route,travel_time,n_trips
166,167,7,90,1831
166,167,7X,90,215
166,401,N,120,896
166,401,W,120,485
167,141,E,180,1235
167,141,M,180,575
167,166,7,90,1721
167,166,7X,90,325
167,168,7,90,1831
167,168,7X,90,215
167,312,E,90,1235
167,312,M,90,575
167,313,G,60,986
168,167,7,90,1721
168,167,7X,90,325
168,169,7,60,1831
168,169,7X,60,215
169,142,7,270,1831
169,142,7X,270,215
169,168,7,30,1721
169,168,7X,60,325
170,25,7,90,1831
170,25,7X,90,215
170,142,7,60,1721
170,142,7X,90,325
170,246,B,90,515
170,246,D,90,916
170,246,F,90,1179
170,246,FX,120,10
170,246,M,90,815
170,247,B,90,515
170,247,D,90,916
170,247,F,90,1179
170,247,FX,90,10
170,247,M,90,815
171,25,7,180,1721
171,25,7X,180,325
172,173,A,90,1066
173,172,A,90,1076
173,174,A,120,1091
174,173,A,150,1096
174,175,A,120,1091
175,174,A,120,1096
175,176,A,60,1091
176,10,A,120,1091
176,175,A,60,1096
177,10,A,90,189
177,10,C,90,673
177,178,A,90,185
177,178,C,60,673
178,177,A,90,189
178,177,C,90,673
178,179,A,90,185
178,179,C,90,673
179,10,A,180,922
179,178,A,90,189
179,178,C,90,673
179,180,A,90,210
179,180,B,120,515
179,180,C,120,673
179,181,A,210,901
179,181,D,210,916
179,240,D,480,90
179,244,B,90,180
179,244,D,90,826
180,179,A,90,199
180,179,B,90,515
180,179,C,90,673
180,181,A,90,210
180,181,B,90,515
180,181,C,90,673
181,23,A,480,926
181,23,D,480,916
181,179,A,150,912
181,179,D,210,916
181,180,A,90,199
181,180,B,90,515
181,180,C,90,673
181,182,A,90,185
181,182,B,90,515
181,182,C,90,673
182,181,A,90,189
182,181,B,90,515
182,181,C,90,673
182,183,A,90,185
182,183,B,90,515
182,183,C,90,673
183,182,A,90,189
183,182,B,90,515
183,182,C,90,673
183,184,A,60,185
183,184,B,60,515
183,184,C,60,673
184,183,A,60,189
184,183,B,60,515
184,183,C,60,673
184,185,A,90,185
184,185,B,60,515
184,185,C,60,673
185,184,A,90,189
185,184,B,90,515
185,184,C,90,673
185,186,A,90,185
185,186,B,90,515
185,186,C,90,673
186,185,A,90,189
186,185,B,90,515
186,185,C,90,673
186,187,A,90,185
186,187,B,90,515
186,187,C,90,673
187,186,A,90,189
187,186,B,90,515
187,186,C,90,673
187,188,A,90,185
187,188,B,90,515
187,188,C,90,673
188,23,A,90,185
188,23,B,90,515
188,23,C,90,673
188,187,A,90,189
188,187,B,90,515
188,187,C,90,673
189,23,A,120,189
189,23,C,120,673
189,25,A,120,185
189,25,C,120,673
189,25,E,120,1235
189,245,E,90,1235
190,25,A,60,1111
190,25,C,60,673
190,25,E,60,1235
190,191,A,90,185
190,191,C,90,673
190,191,E,90,1235
190,192,A,150,926
191,190,A,120,189
191,190,C,90,673
191,190,E,90,1235
191,192,A,90,185
