source,target,route_id,travel_time
403,610,4,120
403,610,6,120
403,610,6X,120
404,403,4,60
404,403,6,60
404,403,6X,60
404,405,4,60
404,405,6,60
404,405,6X,60
405,404,4,60
405,404,6,60
405,404,6X,60
405,602,4,90
405,602,6,90
405,602,6X,90
407,602,4,90
407,602,6,60
407,602,6X,90
407,619,4,90
407,619,6,60
407,619,6X,90
409,619,4,60
409,619,6,60
409,619,6X,60
409,623,4,90
409,623,6,90
409,623,6X,90
413,414,4,60
413,414,5,60
413,628,4,60
413,628,5,60
413,628,5X,60
414,413,4,60
414,413,5,60
414,413,5X,90
414,620,4,300
414,620,5,300
416,417,2,90
417,416,2,120
417,416,5,120
417,418,2,90
417,418,5,90
418,417,2,90
418,417,5,90
418,419,2,60
418,419,5,90
419,418,2,60
419,418,5,90
419,420,2,60
419,420,5,90
420,419,2,60
420,419,5,60
420,421,2,90
420,421,5,90
421,420,2,90
421,420,5,90
421,422,2,90
421,422,5,90
422,421,2,90
422,421,5,90
422,423,2,60
422,423,5,90
423,422,2,60
423,422,5,90
423,424,2,120
423,424,5,120
424,423,2,120
424,423,5,120
424,425,2,90
424,425,5,150
425,424,2,120
425,424,5,120
425,426,2,120
425,426,5,120
426,425,2,120
426,425,5,120
426,427,2,90
426,427,5,90
426,446,5X,210
427,426,2,90
427,426,5,90
427,428,2,120
427,428,5,120
428,427,2,90
428,427,5,90
428,429,2,120
428,429,5,120
429,428,2,120
429,428,5,120
429,430,2,90
429,430,5,90
430,429,2,90
430,429,5,90
430,431,2,60
430,431,5,60
431,430,2,60
431,430,5,60
431,432,2,60
431,432,5,60
432,431,2,60
432,431,5,60
432,433,2,90
432,433,5,90
433,432,2,90
433,432,5,90
433,434,2,120
433,434,5,120
434,426,5X,660
434,433,2,120
434,433,5,120
434,603,2,120
434,603,5,90
436,437,3,90
437,436,3,120
437,438,3,120
438,437,3,120
438,439,2,90
438,439,3,90
438,603,2,180
439,438,2,90
439,438,3,90
439,440,2,90
439,440,3,90
440,439,2,90
440,439,3,90
440,441,2,60
440,441,3,60
441,310,2,240
441,310,3,240
441,440,2,60
441,440,3,60
442,443,5,120
443,442,5,120
443,442,5X,150
443,444,5,120
444,443,5,120
444,443,5X,150
444,445,5,150
445,444,5,150
445,444,5X,150
445,446,5,60
446,426,5,180
446,445,5,60
446,445,5X,90
447,448,7,150
447,448,7X,150
448,447,7,210
448,447,7X,210
448,449,7,90
448,451,7X,210
449,448,7,120
449,450,7,60
450,449,7,60
450,451,7,60
451,448,7X,210
451,450,7,60
451,452,7,60
451,456,7X,240
452,451,7,60
452,453,7,60
453,452,7,60
453,616,7,60
455,456,7,120
455,616,7,90
456,451,7X,240
456,455,7,120
456,457,7,90
456,461,7X,330
457,456,7,90
457,458,7,60
458,457,7,60
458,459,7,60
459,458,7,60
459,460,7,60
460,459,7,60
460,461,7,120
461,6,N,120
461,6,W,120
461,456,7X,330
461,460,7,120
461,606,7,90
461,606,7X,90
461,613,N,270
461,613,W,270
463,464,7,60
463,464,7X,60
463,606,7,90
463,606,7X,90
464,463,7,30
464,463,7X,60
464,610,7,270
464,610,7X,270
471,611,7,180
471,611,7X,180
475,476,M,120
475,476,N,120
475,476,Q,120
476,475,M,90
476,475,Q,90
476,475,R,120
476,477,M,120
476,477,N,120
476,477,Q,120
477,223,M,120
477,223,N,120
477,223,Q,120
477,476,M,90
477,476,Q,90
477,476,R,150
501,502,SI,180
502,501,SI,180
502,503,SI,120
503,502,SI,120
503,504,SI,120
504,503,SI,120
504,505,SI,180
505,504,SI,180
505,506,SI,120
506,505,SI,120
506,507,SI,120
507,506,SI,120
507,508,SI,120
508,507,SI,120
508,509,SI,60
509,508,SI,60
509,510,SI,120
510,509,SI,120
510,511,SI,120
511,510,SI,120
511,512,SI,120
512,511,SI,120
512,513,SI,120
513,512,SI,120
513,514,SI,120
514,513,SI,120
514,515,SI,120
515,514,SI,120
515,516,SI,120
516,515,SI,120
516,517,SI,120
517,516,SI,120
517,518,SI,120
518,517,SI,120
518,519,SI,120
519,518,SI,120
519,523,SI,120
522,523,SI,180
523,519,SI,120
523,522,SI,180
601,167,F,90
601,167,FX,120
601,167,M,90
601,228,F,90
601,228,FX,90
601,228,M,90
601,318,3,150
601,321,1,60
601,321,2,60
601,323,1,90
601,323,2,90
601,327,3,270
601,602,L,90
601,618,L,60
602,14,N,90
602,14,Q,90
602,14,R,90
602,14,W,120
602,16,N,90
602,16,Q,90
602,16,R,90
602,16,W,90
602,118,L,30
602,405,4,120
602,405,6,90
602,405,6X,90
602,407,4,90
602,407,6,90
602,407,6X,90
602,601,L,90
602,610,5,210
602,610,5X,240
602,622,5,270
603,391,4,90
603,391,5,150
